year,team,p_average
1993,Footwork,14.9375
1993,Jordan,16.59375
1993,Larrousse,13.4375
1993,Ligier,11.78125
1993,Lola,16.6875
1993,Lotus,14.1875
1993,March,28.0
1993,McLaren,11.5625
1993,Minardi,13.53125
1993,Sauber,13.75
1993,Tyrrell,18.09375
1993,Williams,5.46875
1994,Benetton,11.1875
1994,Ferrari,11.1875
1994,Footwork,14.65625
1994,Jordan,13.40625
1994,Larrousse,16.71875
1994,Ligier,11.125
1994,Lotus,14.8125
1994,McLaren,12.28125
1994,Minardi,14.625
1994,Pacific,19.8
1994,Sauber,16.125
1994,Simtek,15.8125
1994,Tyrrell,14.71875
1994,Williams,8.5625
1995,Benetton,6.676470588235294
1995,Ferrari,9.617647058823529
1995,Footwork,15.911764705882353
1995,Forti,16.41176470588235
1995,Jordan,12.176470588235293
1995,Larrousse,28.0
1995,Ligier,11.588235294117647
1995,McLaren,12.794117647058824
1995,Minardi,14.0
1995,Pacific,18.38235294117647
1995,Sauber,11.794117647058824
1995,Simtek,20.083333333333332
1995,Tyrrell,13.529411764705882
1995,Williams,9.058823529411764
1996,Benetton,7.875
1996,Ferrari,9.71875
1996,Footwork,14.3125
1996,Forti,16.4375
1996,Jordan,10.21875
1996,Ligier,11.6875
1996,McLaren,8.78125
1996,Minardi,13.90625
1996,Sauber,11.875
1996,Tyrrell,13.25
1996,Williams,4.8125
1997,Arrows,14.088235294117647
1997,Benetton,7.5
1997,Ferrari,8.705882352941176
1997,Jordan,10.970588235294118
1997,McLaren,10.5
1997,Minardi,15.823529411764707
1997,Prost,11.117647058823529
1997,Sauber,10.911764705882353
1997,Stewart,15.735294117647058
1997,Tyrrell,13.294117647058824
1997,Williams,7.823529411764706
1998,Arrows,16.0
1998,Benetton,9.125
1998,Ferrari,5.40625
1998,Jordan,11.21875
1998,McLaren,5.78125
1998,Minardi,14.53125
1998,Prost,14.03125
1998,Sauber,11.3125
1998,Stewart,14.71875
1998,Tyrrell,14.5
1998,Williams,8.46875
1999,Arrows,14.90625
1999,BAR,14.65625
1999,Benetton,11.625
1999,Ferrari,5.375
1999,Jordan,9.84375
1999,McLaren,7.75
1999,Minardi,14.0625
1999,Prost,12.6875
1999,Sauber,13.96875
1999,Stewart,11.09375
1999,Williams,10.71875
2000,Arrows,15.176470588235293
2000,BAR,10.617647058823529
2000,Benetton,11.617647058823529
2000,Ferrari,5.764705882352941
2000,Jaguar,12.774509803921568
2000,Jordan,13.205882352941176
2000,McLaren,5.205882352941177
