year,date,prix,winner,constructor,raceUrl
1973,28 Jan 1973,Argentina,"Emerson
Fittipaldi
FIT",Lotus Ford,/en/results.html/1973/races/314/argentina/race-result.html
1973,11 Feb 1973,Brazil,"Emerson
Fittipaldi
FIT",Lotus Ford,/en/results.html/1973/races/315/brazil/race-result.html
1973,03 Mar 1973,South Africa,"Jackie
Stewart
STE",Tyrrell Ford,/en/results.html/1973/races/316/south-africa/race-result.html
1973,29 Apr 1973,Spain,"Emerson
Fittipaldi
FIT",Lotus Ford,/en/results.html/1973/races/317/spain/race-result.html
1973,20 May 1973,Belgium,"Jackie
Stewart
STE",Tyrrell Ford,/en/results.html/1973/races/318/belgium/race-result.html
1973,03 Jun 1973,Monaco,"Jackie
Stewart
STE",Tyrrell Ford,/en/results.html/1973/races/319/monaco/race-result.html
1973,17 Jun 1973,Sweden,"Denny
Hulme
HUL",McLaren Ford,/en/results.html/1973/races/320/sweden/race-result.html
1973,01 Jul 1973,France,"Ronnie
Peterson
PET",Lotus Ford,/en/results.html/1973/races/321/france/race-result.html
1973,14 Jul 1973,Great Britain,"Peter  
Revson
REV",McLaren Ford,/en/results.html/1973/races/322/great-britain/race-result.html
1973,29 Jul 1973,Netherlands,"Jackie
Stewart
STE",Tyrrell Ford,/en/results.html/1973/races/323/netherlands/race-result.html
1973,05 Aug 1973,Germany,"Jackie
Stewart
STE",Tyrrell Ford,/en/results.html/1973/races/324/germany/race-result.html
1973,19 Aug 1973,Austria,"Ronnie
Peterson
PET",Lotus Ford,/en/results.html/1973/races/325/austria/race-result.html
1973,09 Sep 1973,Italy,"Ronnie
Peterson
PET",Lotus Ford,/en/results.html/1973/races/326/italy/race-result.html
1973,23 Sep 1973,Canada,"Peter  
Revson
REV",McLaren Ford,/en/results.html/1973/races/327/canada/race-result.html
1973,07 Oct 1973,United States,"Ronnie
Peterson
PET",Lotus Ford,/en/results.html/1973/races/328/united-states/race-result.html
1974,13 Jan 1974,Argentina,"Denny
Hulme
HUL",McLaren Ford,/en/results.html/1974/races/329/argentina/race-result.html
1974,27 Jan 1974,Brazil,"Emerson
Fittipaldi
FIT",McLaren Ford,/en/results.html/1974/races/330/brazil/race-result.html
1974,30 Mar 1974,South Africa,"Carlos
Reutemann
REU",Brabham Ford,/en/results.html/1974/races/331/south-africa/race-result.html
1974,28 Apr 1974,Spain,"Niki
Lauda
LAU",Ferrari,/en/results.html/1974/races/332/spain/race-result.html
1974,12 May 1974,Belgium,"Emerson
Fittipaldi
FIT",McLaren Ford,/en/results.html/1974/races/333/belgium/race-result.html
1974,26 May 1974,Monaco,"Ronnie
Peterson
PET",Lotus Ford,/en/results.html/1974/races/334/monaco/race-result.html
1974,09 Jun 1974,Sweden,"Jody
Scheckter
SCH",Tyrrell Ford,/en/results.html/1974/races/335/sweden/race-result.html
1974,23 Jun 1974,Netherlands,"Niki
Lauda
LAU",Ferrari,/en/results.html/1974/races/336/netherlands/race-result.html
1974,07 Jul 1974,France,"Ronnie
Peterson
PET",Lotus Ford,/en/results.html/1974/races/337/france/race-result.html
1974,20 Jul 1974,Great Britain,"Jody
Scheckter
SCH",Tyrrell Ford,/en/results.html/1974/races/338/great-britain/race-result.html
1974,04 Aug 1974,Germany,"Clay
Regazzoni
REG",Ferrari,/en/results.html/1974/races/339/germany/race-result.html
1974,18 Aug 1974,Austria,"Carlos
Reutemann
REU",Brabham Ford,/en/results.html/1974/races/340/austria/race-result.html
1974,08 Sep 1974,Italy,"Ronnie
Peterson
PET",Lotus Ford,/en/results.html/1974/races/341/italy/race-result.html
1974,22 Sep 1974,Canada,"Emerson
Fittipaldi
FIT",McLaren Ford,/en/results.html/1974/races/342/canada/race-result.html
1974,06 Oct 1974,United States,"Carlos
Reutemann
REU",Brabham Ford,/en/results.html/1974/races/343/united-states/race-result.html
1975,12 Jan 1975,Argentina,"Emerson
Fittipaldi
FIT",McLaren Ford,/en/results.html/1975/races/344/argentina/race-result.html
1975,26 Jan 1975,Brazil,"Carlos
Pace
PAC",Brabham Ford,/en/results.html/1975/races/345/brazil/race-result.html
1975,01 Mar 1975,South Africa,"Jody
Scheckter
SCH",Tyrrell Ford,/en/results.html/1975/races/346/south-africa/race-result.html
1975,27 Apr 1975,Spain,"Jochen
Mass
MAS",McLaren Ford,/en/results.html/1975/races/347/spain/race-result.html
1975,11 May 1975,Monaco,"Niki
Lauda
LAU",Ferrari,/en/results.html/1975/races/348/monaco/race-result.html
1975,25 May 1975,Belgium,"Niki
Lauda
LAU",Ferrari,/en/results.html/1975/races/349/belgium/race-result.html
1975,08 Jun 1975,Sweden,"Niki
Lauda
LAU",Ferrari,/en/results.html/1975/races/350/sweden/race-result.html
1975,22 Jun 1975,Netherlands,"James
Hunt
HUN",Hesketh Ford,/en/results.html/1975/races/351/netherlands/race-result.html
1975,06 Jul 1975,France,"Niki
Lauda
LAU",Ferrari,/en/results.html/1975/races/352/france/race-result.html
1975,19 Jul 1975,Great Britain,"Emerson
Fittipaldi
FIT",McLaren Ford,/en/results.html/1975/races/353/great-britain/race-result.html
1975,03 Aug 1975,Germany,"Carlos
Reutemann
REU",Brabham Ford,/en/results.html/1975/races/354/germany/race-result.html
1975,17 Aug 1975,Austria,"Vittorio
Brambilla
BRA",March Ford,/en/results.html/1975/races/355/austria/race-result.html
1975,07 Sep 1975,Italy,"Clay
Regazzoni
REG",Ferrari,/en/results.html/1975/races/356/italy/race-result.html
1975,05 Oct 1975,United States,"Niki
Lauda
LAU",Ferrari,/en/results.html/1975/races/357/united-states/race-result.html
1976,25 Jan 1976,Brazil,"Niki
Lauda
LAU",Ferrari,/en/results.html/1976/races/358/brazil/race-result.html
1976,06 Mar 1976,South Africa,"Niki
Lauda
LAU",Ferrari,/en/results.html/1976/races/359/south-africa/race-result.html
1976,28 Mar 1976,USA West,"Clay
Regazzoni
REG",Ferrari,/en/results.html/1976/races/360/usa-west/race-result.html
1976,02 May 1976,Spain,"James
Hunt
HUN",McLaren Ford,/en/results.html/1976/races/361/spain/race-result.html
1976,16 May 1976,Belgium,"Niki
Lauda
LAU",Ferrari,/en/results.html/1976/races/362/belgium/race-result.html
1976,30 May 1976,Monaco,"Niki
Lauda
LAU",Ferrari,/en/results.html/1976/races/363/monaco/race-result.html
1976,13 Jun 1976,Sweden,"Jody
Scheckter
SCH",Tyrrell Ford,/en/results.html/1976/races/364/sweden/race-result.html
1976,04 Jul 1976,France,"James
Hunt
HUN",McLaren Ford,/en/results.html/1976/races/365/france/race-result.html
1976,18 Jul 1976,Great Britain,"Niki
Lauda
LAU",Ferrari,/en/results.html/1976/races/366/great-britain/race-result.html
1976,01 Aug 1976,Germany,"James
Hunt
HUN",McLaren Ford,/en/results.html/1976/races/367/germany/race-result.html
1976,15 Aug 1976,Austria,"John
Watson
WAT",Penske Ford,/en/results.html/1976/races/368/austria/race-result.html
1976,29 Aug 1976,Netherlands,"James
Hunt
HUN",McLaren Ford,/en/results.html/1976/races/369/netherlands/race-result.html
1976,12 Sep 1976,Italy,"Ronnie
Peterson
PET",March Ford,/en/results.html/1976/races/370/italy/race-result.html
1976,03 Oct 1976,Canada,"James
Hunt
HUN",McLaren Ford,/en/results.html/1976/races/371/canada/race-result.html
1976,10 Oct 1976,USA East,"James
Hunt
HUN",McLaren Ford,/en/results.html/1976/races/372/usa-east/race-result.html
1976,24 Oct 1976,Japan,"Mario
Andretti
AND",Lotus Ford,/en/results.html/1976/races/373/japan/race-result.html
1977,09 Jan 1977,Argentina,"Jody
Scheckter
SCH",Wolf Ford,/en/results.html/1977/races/374/argentina/race-result.html
1977,23 Jan 1977,Brazil,"Carlos
Reutemann
REU",Ferrari,/en/results.html/1977/races/375/brazil/race-result.html
1977,05 Mar 1977,South Africa,"Niki
Lauda
LAU",Ferrari,/en/results.html/1977/races/376/south-africa/race-result.html
1977,03 Apr 1977,USA West,"Mario
Andretti
AND",Lotus Ford,/en/results.html/1977/races/377/usa-west/race-result.html
1977,08 May 1977,Spain,"Mario
Andretti
AND",Lotus Ford,/en/results.html/1977/races/378/spain/race-result.html
1977,22 May 1977,Monaco,"Jody
Scheckter
SCH",Wolf Ford,/en/results.html/1977/races/379/monaco/race-result.html
1977,05 Jun 1977,Belgium,"Gunnar
Nilsson
NIL",Lotus Ford,/en/results.html/1977/races/380/belgium/race-result.html
1977,19 Jun 1977,Sweden,"Jacques
Laffite
LAF",Ligier Matra,/en/results.html/1977/races/381/sweden/race-result.html
1977,03 Jul 1977,France,"Mario
Andretti
AND",Lotus Ford,/en/results.html/1977/races/382/france/race-result.html
1977,16 Jul 1977,Great Britain,"James
Hunt
HUN",McLaren Ford,/en/results.html/1977/races/383/great-britain/race-result.html
1977,31 Jul 1977,Germany,"Niki
Lauda
LAU",Ferrari,/en/results.html/1977/races/384/germany/race-result.html
1977,14 Aug 1977,Austria,"Alan 
Jones
JON",Shadow Ford,/en/results.html/1977/races/385/austria/race-result.html
1977,28 Aug 1977,Netherlands,"Niki
Lauda
LAU",Ferrari,/en/results.html/1977/races/386/netherlands/race-result.html
1977,11 Sep 1977,Italy,"Mario
Andretti
AND",Lotus Ford,/en/results.html/1977/races/387/italy/race-result.html
1977,02 Oct 1977,USA East,"James
Hunt
HUN",McLaren Ford,/en/results.html/1977/races/388/usa-east/race-result.html
1977,09 Oct 1977,Canada,"Jody
Scheckter
SCH",Wolf Ford,/en/results.html/1977/races/389/canada/race-result.html
1977,23 Oct 1977,Japan,"James
Hunt
HUN",McLaren Ford,/en/results.html/1977/races/390/japan/race-result.html
1978,15 Jan 1978,Argentina,"Mario
Andretti
AND",Lotus Ford,/en/results.html/1978/races/391/argentina/race-result.html
1978,29 Jan 1978,Brazil,"Carlos
Reutemann
REU",Ferrari,/en/results.html/1978/races/392/brazil/race-result.html
1978,04 Mar 1978,South Africa,"Ronnie
Peterson
PET",Lotus Ford,/en/results.html/1978/races/393/south-africa/race-result.html
1978,02 Apr 1978,USA West,"Carlos
Reutemann
REU",Ferrari,/en/results.html/1978/races/394/usa-west/race-result.html
1978,07 May 1978,Monaco,"Patrick
Depailler
DEP",Tyrrell Ford,/en/results.html/1978/races/395/monaco/race-result.html
1978,21 May 1978,Belgium,"Mario
Andretti
AND",Lotus Ford,/en/results.html/1978/races/396/belgium/race-result.html
1978,04 Jun 1978,Spain,"Mario
Andretti
AND",Lotus Ford,/en/results.html/1978/races/397/spain/race-result.html
1978,17 Jun 1978,Sweden,"Niki
Lauda
LAU",Brabham Alfa Romeo,/en/results.html/1978/races/398/sweden/race-result.html
1978,02 Jul 1978,France,"Mario
Andretti
AND",Lotus Ford,/en/results.html/1978/races/399/france/race-result.html
1978,16 Jul 1978,Great Britain,"Carlos
Reutemann
REU",Ferrari,/en/results.html/1978/races/400/great-britain/race-result.html
1978,30 Jul 1978,Germany,"Mario
Andretti
AND",Lotus Ford,/en/results.html/1978/races/401/germany/race-result.html
1978,13 Aug 1978,Austria,"Ronnie
Peterson
PET",Lotus Ford,/en/results.html/1978/races/402/austria/race-result.html
1978,27 Aug 1978,Netherlands,"Mario
Andretti
AND",Lotus Ford,/en/results.html/1978/races/403/netherlands/race-result.html
1978,10 Sep 1978,Italy,"Niki
Lauda
LAU",Brabham Alfa Romeo,/en/results.html/1978/races/404/italy/race-result.html
1978,01 Oct 1978,USA East,"Carlos
Reutemann
REU",Ferrari,/en/results.html/1978/races/405/usa-east/race-result.html
1978,08 Oct 1978,Canada,"Gilles
Villeneuve
VIL",Ferrari,/en/results.html/1978/races/406/canada/race-result.html
1979,21 Jan 1979,Argentina,"Jacques
Laffite
LAF",Ligier Ford,/en/results.html/1979/races/407/argentina/race-result.html
1979,04 Feb 1979,Brazil,"Jacques
Laffite
LAF",Ligier Ford,/en/results.html/1979/races/408/brazil/race-result.html
1979,03 Mar 1979,South Africa,"Gilles
Villeneuve
VIL",Ferrari,/en/results.html/1979/races/409/south-africa/race-result.html
1979,08 Apr 1979,USA West,"Gilles
Villeneuve
VIL",Ferrari,/en/results.html/1979/races/410/usa-west/race-result.html
1979,29 Apr 1979,Spain,"Patrick
Depailler
DEP",Ligier Ford,/en/results.html/1979/races/411/spain/race-result.html
1979,13 May 1979,Belgium,"Jody
Scheckter
SCH",Ferrari,/en/results.html/1979/races/412/belgium/race-result.html
1979,27 May 1979,Monaco,"Jody
Scheckter
SCH",Ferrari,/en/results.html/1979/races/413/monaco/race-result.html
1979,01 Jul 1979,France,"Jean-Pierre
Jabouille
JAB",Renault,/en/results.html/1979/races/414/france/race-result.html
1979,14 Jul 1979,Great Britain,"Clay
Regazzoni
REG",Williams Ford,/en/results.html/1979/races/415/great-britain/race-result.html
1979,29 Jul 1979,Germany,"Alan 
Jones
JON",Williams Ford,/en/results.html/1979/races/416/germany/race-result.html
1979,12 Aug 1979,Austria,"Alan 
Jones
JON",Williams Ford,/en/results.html/1979/races/417/austria/race-result.html
1979,26 Aug 1979,Netherlands,"Alan 
Jones
JON",Williams Ford,/en/results.html/1979/races/418/netherlands/race-result.html
1979,09 Sep 1979,Italy,"Jody
Scheckter
SCH",Ferrari,/en/results.html/1979/races/419/italy/race-result.html
1979,30 Sep 1979,Canada,"Alan 
Jones
JON",Williams Ford,/en/results.html/1979/races/420/canada/race-result.html
1979,07 Oct 1979,USA East,"Gilles
Villeneuve
VIL",Ferrari,/en/results.html/1979/races/421/usa-east/race-result.html
1980,13 Jan 1980,Argentina,"Alan 
Jones
JON",Williams Ford,/en/results.html/1980/races/80/argentina/race-result.html
1980,27 Jan 1980,Brazil,"Rene
Arnoux
ARN",Renault,/en/results.html/1980/races/81/brazil/race-result.html
1980,01 Mar 1980,South Africa,"Rene
Arnoux
ARN",Renault,/en/results.html/1980/races/82/south-africa/race-result.html
1980,30 Mar 1980,USA West,"Nelson
Piquet
PIQ",Brabham Ford,/en/results.html/1980/races/83/usa-west/race-result.html
1980,04 May 1980,Belgium,"Didier
Pironi
PIR",Ligier Ford,/en/results.html/1980/races/84/belgium/race-result.html
1980,18 May 1980,Monaco,"Carlos
Reutemann
REU",Williams Ford,/en/results.html/1980/races/85/monaco/race-result.html
1980,29 Jun 1980,France,"Alan 
Jones
JON",Williams Ford,/en/results.html/1980/races/86/france/race-result.html
1980,13 Jul 1980,Great Britain,"Alan 
Jones
JON",Williams Ford,/en/results.html/1980/races/87/great-britain/race-result.html
1980,10 Aug 1980,Germany,"Jacques
Laffite
LAF",Ligier Ford,/en/results.html/1980/races/88/germany/race-result.html
1980,17 Aug 1980,Austria,"Jean-Pierre
Jabouille
JAB",Renault,/en/results.html/1980/races/89/austria/race-result.html
1980,31 Aug 1980,Netherlands,"Nelson
Piquet
PIQ",Brabham Ford,/en/results.html/1980/races/90/netherlands/race-result.html
1980,14 Sep 1980,Italy,"Nelson
Piquet
PIQ",Brabham Ford,/en/results.html/1980/races/91/italy/race-result.html
1980,28 Sep 1980,Canada,"Alan 
Jones
JON",Williams Ford,/en/results.html/1980/races/92/canada/race-result.html
1980,05 Oct 1980,USA East,"Alan 
Jones
JON",Williams Ford,/en/results.html/1980/races/93/usa-east/race-result.html
1981,15 Mar 1981,USA West,"Alan 
Jones
JON",Williams Ford,/en/results.html/1981/races/422/usa-west/race-result.html
1981,29 Mar 1981,Brazil,"Carlos
Reutemann
REU",Williams Ford,/en/results.html/1981/races/423/brazil/race-result.html
1981,12 Apr 1981,Argentina,"Nelson
Piquet
PIQ",Brabham Ford,/en/results.html/1981/races/424/argentina/race-result.html
1981,03 May 1981,San Marino,"Nelson
Piquet
PIQ",Brabham Ford,/en/results.html/1981/races/425/san-marino/race-result.html
1981,17 May 1981,Belgium,"Carlos
Reutemann
REU",Williams Ford,/en/results.html/1981/races/426/belgium/race-result.html
1981,31 May 1981,Monaco,"Gilles
Villeneuve
VIL",Ferrari,/en/results.html/1981/races/427/monaco/race-result.html
1981,21 Jun 1981,Spain,"Gilles
Villeneuve
VIL",Ferrari,/en/results.html/1981/races/428/spain/race-result.html
1981,05 Jul 1981,France,"Alain
Prost
PRO",Renault,/en/results.html/1981/races/429/france/race-result.html
1981,18 Jul 1981,Great Britain,"John
Watson
WAT",McLaren Ford,/en/results.html/1981/races/430/great-britain/race-result.html
1981,02 Aug 1981,Germany,"Nelson
Piquet
PIQ",Brabham Ford,/en/results.html/1981/races/431/germany/race-result.html
1981,16 Aug 1981,Austria,"Jacques
Laffite
LAF",Ligier Matra,/en/results.html/1981/races/432/austria/race-result.html
1981,30 Aug 1981,Netherlands,"Alain
Prost
PRO",Renault,/en/results.html/1981/races/433/netherlands/race-result.html
1981,13 Sep 1981,Italy,"Alain
Prost
PRO",Renault,/en/results.html/1981/races/434/italy/race-result.html
1981,27 Sep 1981,Canada,"Jacques
Laffite
LAF",Ligier Matra,/en/results.html/1981/races/435/canada/race-result.html
1981,17 Oct 1981,Las Vegas,"Alan 
Jones
JON",Williams Ford,/en/results.html/1981/races/436/las-vegas/race-result.html
1982,23 Jan 1982,South Africa,"Alain
Prost
PRO",Renault,/en/results.html/1982/races/437/south-africa/race-result.html
1982,21 Mar 1982,Brazil,"Alain
Prost
PRO",Renault,/en/results.html/1982/races/438/brazil/race-result.html
1982,04 Apr 1982,USA West,"Niki
Lauda
LAU",McLaren Ford,/en/results.html/1982/races/439/usa-west/race-result.html
1982,25 Apr 1982,San Marino,"Didier
Pironi
PIR",Ferrari,/en/results.html/1982/races/440/san-marino/race-result.html
1982,09 May 1982,Belgium,"John
Watson
WAT",McLaren Ford,/en/results.html/1982/races/441/belgium/race-result.html
1982,23 May 1982,Monaco,"Riccardo
Patrese
PAT",Brabham Ford,/en/results.html/1982/races/442/monaco/race-result.html
1982,06 Jun 1982,Detroit,"John
Watson
WAT",McLaren Ford,/en/results.html/1982/races/443/detroit/race-result.html
1982,13 Jun 1982,Canada,"Nelson
Piquet
PIQ",Brabham BMW,/en/results.html/1982/races/444/canada/race-result.html
1982,03 Jul 1982,Netherlands,"Didier
Pironi
PIR",Ferrari,/en/results.html/1982/races/445/netherlands/race-result.html
1982,18 Jul 1982,Great Britain,"Niki
Lauda
LAU",McLaren Ford,/en/results.html/1982/races/446/great-britain/race-result.html
1982,25 Jul 1982,France,"Rene
Arnoux
ARN",Renault,/en/results.html/1982/races/447/france/race-result.html
1982,08 Aug 1982,Germany,"Patrick
Tambay
TAM",Ferrari,/en/results.html/1982/races/448/germany/race-result.html
1982,15 Aug 1982,Austria,"Elio
de Angelis
DEA",Lotus Ford,/en/results.html/1982/races/449/austria/race-result.html
1982,29 Aug 1982,Switzerland,"Keke
Rosberg
ROS",Williams Ford,/en/results.html/1982/races/450/switzerland/race-result.html
1982,12 Sep 1982,Italy,"Rene
Arnoux
ARN",Renault,/en/results.html/1982/races/451/italy/race-result.html
1982,25 Sep 1982,Las Vegas,"Michele
Alboreto
ALB",Tyrrell Ford,/en/results.html/1982/races/452/las-vegas/race-result.html
1983,13 Mar 1983,Brazil,"Nelson
Piquet
PIQ",Brabham BMW,/en/results.html/1983/races/9/brazil/race-result.html
1983,27 Mar 1983,USA West,"John
Watson
WAT",McLaren Ford,/en/results.html/1983/races/453/usa-west/race-result.html
1983,17 Apr 1983,France,"Alain
Prost
PRO",Renault,/en/results.html/1983/races/454/france/race-result.html
1983,01 May 1983,San Marino,"Patrick
Tambay
TAM",Ferrari,/en/results.html/1983/races/455/san-marino/race-result.html
1983,15 May 1983,Monaco,"Keke
Rosberg
ROS",Williams Ford,/en/results.html/1983/races/456/monaco/race-result.html
1983,22 May 1983,Belgium,"Alain
Prost
PRO",Renault,/en/results.html/1983/races/457/belgium/race-result.html
1983,05 Jun 1983,Detroit,"Michele
Alboreto
ALB",Tyrrell Ford,/en/results.html/1983/races/8/detroit/race-result.html
1983,12 Jun 1983,Canada,"Rene
Arnoux
ARN",Ferrari,/en/results.html/1983/races/458/canada/race-result.html
1983,16 Jul 1983,Great Britain,"Alain
Prost
PRO",Renault,/en/results.html/1983/races/459/great-britain/race-result.html
1983,07 Aug 1983,Germany,"Rene
Arnoux
ARN",Ferrari,/en/results.html/1983/races/460/germany/race-result.html
1983,14 Aug 1983,Austria,"Alain
Prost
PRO",Renault,/en/results.html/1983/races/461/austria/race-result.html
