constructorStandingsId,raceId,constructorId,points,position,positionText,wins,raceId2
6455,65,5,1.0,9,9,0,763
6454,65,9,16.0,7,7,0,763
6453,65,3,10.0,8,8,0,763
6452,65,11,52.0,4,4,1,763
6451,65,1,85.0,3,3,0,763
6450,65,6,142.0,2,2,5,763
6449,65,4,149.0,1,1,7,763
6470,66,8,0.0,11,11,0,764
6469,66,13,0.0,10,10,0,764
6468,66,7,28.0,5,5,0,764
6467,66,2,26.0,6,6,0,764
6466,66,5,1.0,9,9,0,764
6465,66,9,16.0,7,7,0,764
6464,66,3,10.0,8,8,0,764
6463,66,11,58.0,4,4,1,764
6462,66,1,89.0,3,3,0,764
6461,66,6,158.0,2,2,6,764
6460,66,4,160.0,1,1,7,764
6482,67,14,0.0,12,12,0,765
6481,67,8,0.0,11,11,0,765
6480,67,13,0.0,10,10,0,765
6479,67,7,30.0,6,6,0,765
6478,67,2,33.0,5,5,0,765
6477,67,5,1.0,9,9,0,765
6476,67,9,16.0,7,7,0,765
6475,67,3,10.0,8,8,0,765
6474,67,11,65.0,4,4,1,765
6473,67,1,97.0,3,3,0,765
6472,67,6,168.0,1,1,7,765
6471,67,4,165.0,2,2,7,765
6494,68,14,0.0,12,12,0,766
6493,68,8,0.0,11,11,0,766
6492,68,13,0.0,10,10,0,766
6491,68,7,30.0,6,6,0,766
6490,68,2,35.0,5,5,0,766
6489,68,5,1.0,9,9,0,766
6488,68,9,16.0,7,7,0,766
6487,68,3,11.0,8,8,0,766
6486,68,11,73.0,4,4,1,766
6485,68,1,101.0,3,3,0,766
6484,68,6,178.0,2,2,8,766
6483,68,4,179.0,1,1,7,766
6506,69,14,0.0,12,12,0,767
6505,69,8,0.0,11,11,0,767
6504,69,13,0.0,10,10,0,767
6503,69,7,35.0,6,6,0,767
6502,69,2,36.0,5,5,0,767
6501,69,5,1.0,9,9,0,767
6500,69,9,16.0,7,7,0,767
6499,69,3,11.0,8,8,0,767
6498,69,11,78.0,4,4,1,767
6497,69,1,105.0,3,3,0,767
6496,69,6,186.0,2,2,8,767
6495,69,4,195.0,1,1,8,767
6518,70,14,0.0,12,12,0,768
6517,70,8,0.0,11,11,0,768
6516,70,13,0.0,10,10,0,768
6515,70,7,35.0,6,6,0,768
6514,70,2,36.0,5,5,0,768
6513,70,5,1.0,9,9,0,768
6512,70,9,16.0,7,7,0,768
6511,70,3,11.0,8,8,0,768
6510,70,11,86.0,4,4,1,768
6509,70,1,110.0,3,3,0,768
6508,70,6,201.0,2,2,9,768
6507,70,4,206.0,1,1,8,768
567,71,4,16.0,1,1,1,732
568,71,6,8.0,2,2,0,732
569,71,9,7.0,3,3,0,732
570,71,3,4.0,4,4,0,732
571,71,1,4.0,5,5,0,732
572,71,7,0.0,6,6,0,732
573,71,15,0.0,7,7,0,732
574,71,17,0.0,8,8,0,732
575,71,18,0.0,9,9,0,732
